Period;Group;Series;Average
1987 January;Swedish Government Bonds;SE GVB 2Y;11.5317
1987 February;Swedish Government Bonds;SE GVB 2Y;11.219
1987 March;Swedish Government Bonds;SE GVB 2Y;10.8805
1987 April;Swedish Government Bonds;SE GVB 2Y;10.7685
1987 May;Swedish Government Bonds;SE GVB 2Y;11.0468
1987 June;Swedish Government Bonds;SE GVB 2Y;10.9085
1987 July;Swedish Government Bonds;SE GVB 2Y;10.7239
1987 August;Swedish Government Bonds;SE GVB 2Y;10.9929
1987 September;Swedish Government Bonds;SE GVB 2Y;11.1218
1987 October;Swedish Government Bonds;SE GVB 2Y;11.0818
1987 November;Swedish Government Bonds;SE GVB 2Y;10.7367
1987 December;Swedish Government Bonds;SE GVB 2Y;10.6885
1988 January;Swedish Government Bonds;SE GVB 2Y;10.8679
1988 February;Swedish Government Bonds;SE GVB 2Y;10.5443
1988 March;Swedish Government Bonds;SE GVB 2Y;10.5557
1988 April;Swedish Government Bonds;SE GVB 2Y;10.6358
1988 May;Swedish Government Bonds;SE GVB 2Y;10.9055
1988 June;Swedish Government Bonds;SE GVB 2Y;10.7705
1988 July;Swedish Government Bonds;SE GVB 2Y;10.8919
1988 August;Swedish Government Bonds;SE GVB 2Y;11.1865
1988 September;Swedish Government Bonds;SE GVB 2Y;11.1368
1988 October;Swedish Government Bonds;SE GVB 2Y;11.1438
1988 November;Swedish Government Bonds;SE GVB 2Y;11.1555
1988 December;Swedish Government Bonds;SE GVB 2Y;11.1595
1989 January;Swedish Government Bonds;SE GVB 2Y;10.6157
1989 February;Swedish Government Bonds;SE GVB 2Y;10.7215
1989 March;Swedish Government Bonds;SE GVB 2Y;11.3633
1989 April;Swedish Government Bonds;SE GVB 2Y;11.556
1989 May;Swedish Government Bonds;SE GVB 2Y;11.483
1989 June;Swedish Government Bonds;SE GVB 2Y;11.4486
1989 July;Swedish Government Bonds;SE GVB 2Y;11.4205
1989 August;Swedish Government Bonds;SE GVB 2Y;11.4109
1989 September;Swedish Government Bonds;SE GVB 2Y;11.461
1989 October;Swedish Government Bonds;SE GVB 2Y;11.7477
1989 November;Swedish Government Bonds;SE GVB 2Y;12.3932
1989 December;Swedish Government Bonds;SE GVB 2Y;13.3595
1990 January;Swedish Government Bonds;SE GVB 2Y;13.766
1990 February;Swedish Government Bonds;SE GVB 2Y;15.2838
1990 March;Swedish Government Bonds;SE GVB 2Y;15.0477
1990 April;Swedish Government Bonds;SE GVB 2Y;14.4884
1990 May;Swedish Government Bonds;SE GVB 2Y;13.8786
1990 June;Swedish Government Bonds;SE GVB 2Y;13.5011
1990 July;Swedish Government Bonds;SE GVB 2Y;13.4386
1990 August;Swedish Government Bonds;SE GVB 2Y;13.8987
1990 September;Swedish Government Bonds;SE GVB 2Y;14.3225
1990 October;Swedish Government Bonds;SE GVB 2Y;14.5978
1990 November;Swedish Government Bonds;SE GVB 2Y;14.4423
1990 December;Swedish Government Bonds;SE GVB 2Y;14.0976
1991 January;Swedish Government Bonds;SE GVB 2Y;12.9645
1991 February;Swedish Government Bonds;SE GVB 2Y;12.047
1991 March;Swedish Government Bonds;SE GVB 2Y;11.9875
1991 April;Swedish Government Bonds;SE GVB 2Y;12.1129
1991 May;Swedish Government Bonds;SE GVB 2Y;11.562
1991 June;Swedish Government Bonds;SE GVB 2Y;11.0711
1991 July;Swedish Government Bonds;SE GVB 2Y;11.0639
1991 August;Swedish Government Bonds;SE GVB 2Y;11.1309
1991 September;Swedish Government Bonds;SE GVB 2Y;10.7733
1991 October;Swedish Government Bonds;SE GVB 2Y;10.757
1991 November;Swedish Government Bonds;SE GVB 2Y;10.8414
1991 December;Swedish Government Bonds;SE GVB 2Y;11.6656
1992 January;Swedish Government Bonds;SE GVB 2Y;10.7562
1992 February;Swedish Government Bonds;SE GVB 2Y;10.9275
1992 March;Swedish Government Bonds;SE GVB 2Y;10.8377
1992 April;Swedish Government Bonds;SE GVB 2Y;11.1175
1992 May;Swedish Government Bonds;SE GVB 2Y;11.1979
1992 June;Swedish Government Bonds;SE GVB 2Y;11.3395
1992 July;Swedish Government Bonds;SE GVB 2Y;11.2148
1992 August;Swedish Government Bonds;SE GVB 2Y;12.1462
1992 September;Swedish Government Bonds;SE GVB 2Y;13.5023
1992 October;Swedish Government Bonds;SE GVB 2Y;12.4214
1992 November;Swedish Government Bonds;SE GVB 2Y;11.1862
1992 December;Swedish Government Bonds;SE GVB 2Y;9.653
1993 January;Swedish Government Bonds;SE GVB 2Y;9.4147
1993 February;Swedish Government Bonds;SE GVB 2Y;8.8615
1993 March;Swedish Government Bonds;SE GVB 2Y;8.5096
1993 April;Swedish Government Bonds;SE GVB 2Y;8.517
1993 May;Swedish Government Bonds;SE GVB 2Y;8.0816
1993 June;Swedish Government Bonds;SE GVB 2Y;7.6529
1993 July;Swedish Government Bonds;SE GVB 2Y;7.2718
1993 August;Swedish Government Bonds;SE GVB 2Y;6.6745
1993 September;Swedish Government Bonds;SE GVB 2Y;6.8782
1993 October;Swedish Government Bonds;SE GVB 2Y;6.6567
1993 November;Swedish Government Bonds;SE GVB 2Y;6.4695
1993 December;Swedish Government Bonds;SE GVB 2Y;6.3848
1994 January;Swedish Government Bonds;SE GVB 2Y;6.531
1994 February;Swedish Government Bonds;SE GVB 2Y;6.72
1994 March;Swedish Government Bonds;SE GVB 2Y;7.1083
1994 April;Swedish Government Bonds;SE GVB 2Y;7.7253
1994 May;Swedish Government Bonds;SE GVB 2Y;7.836
1994 June;Swedish Government Bonds;SE GVB 2Y;8.7186
1994 July;Swedish Government Bonds;SE GVB 2Y;9.6233
1994 August;Swedish Government Bonds;SE GVB 2Y;9.697
1994 September;Swedish Government Bonds;SE GVB 2Y;9.7677
1994 October;Swedish Government Bonds;SE GVB 2Y;10.0033
1994 November;Swedish Government Bonds;SE GVB 2Y;9.892
1994 December;Swedish Government Bonds;SE GVB 2Y;9.8186
1995 January;Swedish Government Bonds;SE GVB 2Y;10.0624
1995 February;Swedish Government Bonds;SE GVB 2Y;9.686
1995 March;Swedish Government Bonds;SE GVB 2Y;10.1657
1995 April;Swedish Government Bonds;SE GVB 2Y;10.3056
1995 May;Swedish Government Bonds;SE GVB 2Y;9.791
1995 June;Swedish Government Bonds;SE GVB 2Y;9.9675
1995 July;Swedish Government Bonds;SE GVB 2Y;10.0186
1995 August;Swedish Government Bonds;SE GVB 2Y;9.6974
1995 September;Swedish Government Bonds;SE GVB 2Y;9.319
1995 October;Swedish Government Bonds;SE GVB 2Y;8.9841
1995 November;Swedish Government Bonds;SE GVB 2Y;8.7509
1995 December;Swedish Government Bonds;SE GVB 2Y;8.3532
1996 January;Swedish Government Bonds;SE GVB 2Y;7.8177
1996 February;Swedish Government Bonds;SE GVB 2Y;7.6224
1996 March;Swedish Government Bonds;SE GVB 2Y;7.4105
1996 April;Swedish Government Bonds;SE GVB 2Y;7.0675
1996 May;Swedish Government Bonds;SE GVB 2Y;6.9445
1996 June;Swedish Government Bonds;SE GVB 2Y;6.6763
1996 July;Swedish Government Bonds;SE GVB 2Y;6.6009
1996 August;Swedish Government Bonds;SE GVB 2Y;6.4395
1996 September;Swedish Government Bonds;SE GVB 2Y;6.1095
1996 October;Swedish Government Bonds;SE GVB 2Y;5.4596
1996 November;Swedish Government Bonds;SE GVB 2Y;5.3667
1996 December;Swedish Government Bonds;SE GVB 2Y;4.7928
1997 January;Swedish Government Bonds;SE GVB 2Y;4.4481
1997 February;Swedish Government Bonds;SE GVB 2Y;4.4715
1997 March;Swedish Government Bonds;SE GVB 2Y;4.8926
1997 April;Swedish Government Bonds;SE GVB 2Y;4.9077
1997 May;Swedish Government Bonds;SE GVB 2Y;4.86
1997 June;Swedish Government Bonds;SE GVB 2Y;4.7795
1997 July;Swedish Government Bonds;SE GVB 2Y;4.7222
1997 August;Swedish Government Bonds;SE GVB 2Y;4.8814
1997 September;Swedish Government Bonds;SE GVB 2Y;4.8214
1997 October;Swedish Government Bonds;SE GVB 2Y;5.0078
1997 November;Swedish Government Bonds;SE GVB 2Y;5.136
1997 December;Swedish Government Bonds;SE GVB 2Y;5.1189
1998 January;Swedish Government Bonds;SE GVB 2Y;5.0625
1998 February;Swedish Government Bonds;SE GVB 2Y;4.9195
1998 March;Swedish Government Bonds;SE GVB 2Y;4.8909
1998 April;Swedish Government Bonds;SE GVB 2Y;4.8485
1998 May;Swedish Government Bonds;SE GVB 2Y;4.7816
1998 June;Swedish Government Bonds;SE GVB 2Y;4.3725
1998 July;Swedish Government Bonds;SE GVB 2Y;4.2615
1998 August;Swedish Government Bonds;SE GVB 2Y;4.3155
1998 September;Swedish Government Bonds;SE GVB 2Y;4.3241
1998 October;Swedish Government Bonds;SE GVB 2Y;4.2804
1998 November;Swedish Government Bonds;SE GVB 2Y;3.8691
1998 December;Swedish Government Bonds;SE GVB 2Y;3.5672
1999 January;Swedish Government Bonds;SE GVB 2Y;3.3773
1999 February;Swedish Government Bonds;SE GVB 2Y;3.3582
1999 March;Swedish Government Bonds;SE GVB 2Y;3.3882
1999 April;Swedish Government Bonds;SE GVB 2Y;3.1162
1999 May;Swedish Government Bonds;SE GVB 2Y;3.2963
1999 June;Swedish Government Bonds;SE GVB 2Y;3.7193
1999 July;Swedish Government Bonds;SE GVB 2Y;4.1684
1999 August;Swedish Government Bonds;SE GVB 2Y;4.4285
1999 September;Swedish Government Bonds;SE GVB 2Y;4.5102
1999 October;Swedish Government Bonds;SE GVB 2Y;4.6964
1999 November;Swedish Government Bonds;SE GVB 2Y;4.5209
1999 December;Swedish Government Bonds;SE GVB 2Y;4.6071
2000 January;Swedish Government Bonds;SE GVB 2Y;5.1993
2000 February;Swedish Government Bonds;SE GVB 2Y;5.3636
2000 March;Swedish Government Bonds;SE GVB 2Y;5.173
2000 April;Swedish Government Bonds;SE GVB 2Y;5.0419
2000 May;Swedish Government Bonds;SE GVB 2Y;5.0166
2000 June;Swedish Government Bonds;SE GVB 2Y;4.9424
2000 July;Swedish Government Bonds;SE GVB 2Y;5.0533
2000 August;Swedish Government Bonds;SE GVB 2Y;4.9148
2000 September;Swedish Government Bonds;SE GVB 2Y;4.6881
2000 October;Swedish Government Bonds;SE GVB 2Y;4.5639
2000 November;Swedish Government Bonds;SE GVB 2Y;4.5055
2000 December;Swedish Government Bonds;SE GVB 2Y;4.385
2001 January;Swedish Government Bonds;SE GVB 2Y;4.2214
2001 February;Swedish Government Bonds;SE GVB 2Y;4.1515
2001 March;Swedish Government Bonds;SE GVB 2Y;4.0095
2001 April;Swedish Government Bonds;SE GVB 2Y;4.1224
2001 May;Swedish Government Bonds;SE GVB 2Y;4.425
2001 June;Swedish Government Bonds;SE GVB 2Y;4.75
2001 July;Swedish Government Bonds;SE GVB 2Y;4.783
2001 August;Swedish Government Bonds;SE GVB 2Y;4.4933
2001 September;Swedish Government Bonds;SE GVB 2Y;4.2285
2001 October;Swedish Government Bonds;SE GVB 2Y;3.9791
2001 November;Swedish Government Bonds;SE GVB 2Y;3.9232
2001 December;Swedish Government Bonds;SE GVB 2Y;4.2074
2002 January;Swedish Government Bonds;SE GVB 2Y;4.5255
2002 February;Swedish Government Bonds;SE GVB 2Y;4.7558
2002 March;Swedish Government Bonds;SE GVB 2Y;5.0453
2002 April;Swedish Government Bonds;SE GVB 2Y;5.0971
2002 May;Swedish Government Bonds;SE GVB 2Y;5.0988
2002 June;Swedish Government Bonds;SE GVB 2Y;4.9355
2002 July;Swedish Government Bonds;SE GVB 2Y;4.7335
2002 August;Swedish Government Bonds;SE GVB 2Y;4.522
2002 September;Swedish Government Bonds;SE GVB 2Y;4.4233
2002 October;Swedish Government Bonds;SE GVB 2Y;4.2935
2002 November;Swedish Government Bonds;SE GVB 2Y;4.1488
2002 December;Swedish Government Bonds;SE GVB 2Y;3.9933
2003 January;Swedish Government Bonds;SE GVB 2Y;3.7886
2003 February;Swedish Government Bonds;SE GVB 2Y;3.5603
2003 March;Swedish Government Bonds;SE GVB 2Y;3.5302
2003 April;Swedish Government Bonds;SE GVB 2Y;3.5915
2003 May;Swedish Government Bonds;SE GVB 2Y;3.2518
2003 June;Swedish Government Bonds;SE GVB 2Y;2.9689
2003 July;Swedish Government Bonds;SE GVB 2Y;3.2222
2003 August;Swedish Government Bonds;SE GVB 2Y;3.5764
2003 September;Swedish Government Bonds;SE GVB 2Y;3.5445
2003 October;Swedish Government Bonds;SE GVB 2Y;3.6161
2003 November;Swedish Government Bonds;SE GVB 2Y;3.7563
2003 December;Swedish Government Bonds;SE GVB 2Y;3.5537
2004 January;Swedish Government Bonds;SE GVB 2Y;3.2153
2004 February;Swedish Government Bonds;SE GVB 2Y;3.0438
2004 March;Swedish Government Bonds;SE GVB 2Y;2.7226
2004 April;Swedish Government Bonds;SE GVB 2Y;2.7693
2004 May;Swedish Government Bonds;SE GVB 2Y;2.9624
2004 June;Swedish Government Bonds;SE GVB 2Y;3.0055
2004 July;Swedish Government Bonds;SE GVB 2Y;2.8627
2004 August;Swedish Government Bonds;SE GVB 2Y;2.7468
2004 September;Swedish Government Bonds;SE GVB 2Y;2.7955
2004 October;Swedish Government Bonds;SE GVB 2Y;2.6812
2004 November;Swedish Government Bonds;SE GVB 2Y;2.5595
2004 December;Swedish Government Bonds;SE GVB 2Y;2.3436
2005 January;Swedish Government Bonds;SE GVB 2Y;2.6173
2005 February;Swedish Government Bonds;SE GVB 2Y;2.53
2005 March;Swedish Government Bonds;SE GVB 2Y;2.5471
2005 April;Swedish Government Bonds;SE GVB 2Y;2.4269
2005 May;Swedish Government Bonds;SE GVB 2Y;2.1976
2005 June;Swedish Government Bonds;SE GVB 2Y;1.9313
2005 July;Swedish Government Bonds;SE GVB 2Y;1.8812
2005 August;Swedish Government Bonds;SE GVB 2Y;2.055
2005 September;Swedish Government Bonds;SE GVB 2Y;2.0645
2005 October;Swedish Government Bonds;SE GVB 2Y;2.3969
2005 November;Swedish Government Bonds;SE GVB 2Y;2.5959
2005 December;Swedish Government Bonds;SE GVB 2Y;2.7605
2006 January;Swedish Government Bonds;SE GVB 2Y;2.7614
2006 February;Swedish Government Bonds;SE GVB 2Y;2.7398
2006 March;Swedish Government Bonds;SE GVB 2Y;2.812
2006 April;Swedish Government Bonds;SE GVB 2Y;2.9703
2006 May;Swedish Government Bonds;SE GVB 2Y;2.9795
2006 June;Swedish Government Bonds;SE GVB 2Y;3.3478
2006 July;Swedish Government Bonds;SE GVB 2Y;3.4412
2006 August;Swedish Government Bonds;SE GVB 2Y;3.4672
2006 September;Swedish Government Bonds;SE GVB 2Y;3.4545
2006 October;Swedish Government Bonds;SE GVB 2Y;3.482
2006 November;Swedish Government Bonds;SE GVB 2Y;3.488
2006 December;Swedish Government Bonds;SE GVB 2Y;3.6242
2007 January;Swedish Government Bonds;SE GVB 2Y;3.7823
2007 February;Swedish Government Bonds;SE GVB 2Y;3.802
2007 March;Swedish Government Bonds;SE GVB 2Y;3.7539
2007 April;Swedish Government Bonds;SE GVB 2Y;3.9839
2007 May;Swedish Government Bonds;SE GVB 2Y;4.1164
2007 June;Swedish Government Bonds;SE GVB 2Y;4.275
2007 July;Swedish Government Bonds;SE GVB 2Y;4.3898
2007 August;Swedish Government Bonds;SE GVB 2Y;4.1741
2007 September;Swedish Government Bonds;SE GVB 2Y;4.0768
2007 October;Swedish Government Bonds;SE GVB 2Y;4.1757
2007 November;Swedish Government Bonds;SE GVB 2Y;4.0416
2007 December;Swedish Government Bonds;SE GVB 2Y;4.1204
2008 January;Swedish Government Bonds;SE GVB 2Y;3.7995
2008 February;Swedish Government Bonds;SE GVB 2Y;3.6916
2008 March;Swedish Government Bonds;SE GVB 2Y;3.7835
2008 April;Swedish Government Bonds;SE GVB 2Y;3.9648
2008 May;Swedish Government Bonds;SE GVB 2Y;4.2027
2008 June;Swedish Government Bonds;SE GVB 2Y;4.6211
2008 July;Swedish Government Bonds;SE GVB 2Y;4.6992
2008 August;Swedish Government Bonds;SE GVB 2Y;4.45
2008 September;Swedish Government Bonds;SE GVB 2Y;4.0504
2008 October;Swedish Government Bonds;SE GVB 2Y;3.1852
2008 November;Swedish Government Bonds;SE GVB 2Y;2.4514
2008 December;Swedish Government Bonds;SE GVB 2Y;1.8383
2009 January;Swedish Government Bonds;SE GVB 2Y;1.4435
2009 February;Swedish Government Bonds;SE GVB 2Y;1.188
2009 March;Swedish Government Bonds;SE GVB 2Y;1.1235
2009 April;Swedish Government Bonds;SE GVB 2Y;1.0881
2009 May;Swedish Government Bonds;SE GVB 2Y;1.2444
2009 June;Swedish Government Bonds;SE GVB 2Y;1.2674
2009 July;Swedish Government Bonds;SE GVB 2Y;0.904
2009 August;Swedish Government Bonds;SE GVB 2Y;1.0466
2009 September;Swedish Government Bonds;SE GVB 2Y;0.8562
2009 October;Swedish Government Bonds;SE GVB 2Y;0.7826
2009 November;Swedish Government Bonds;SE GVB 2Y;0.6105
2009 December;Swedish Government Bonds;SE GVB 2Y;1.2092
2010 January;Swedish Government Bonds;SE GVB 2Y;1.628
2010 February;Swedish Government Bonds;SE GVB 2Y;1.6253
2010 March;Swedish Government Bonds;SE GVB 2Y;1.5928
2010 April;Swedish Government Bonds;SE GVB 2Y;1.4947
2010 May;Swedish Government Bonds;SE GVB 2Y;1.2411
2010 June;Swedish Government Bonds;SE GVB 2Y;1.3304
2010 July;Swedish Government Bonds;SE GVB 2Y;1.4275
2010 August;Swedish Government Bonds;SE GVB 2Y;1.312
2010 September;Swedish Government Bonds;SE GVB 2Y;1.3891
2010 October;Swedish Government Bonds;SE GVB 2Y;1.447
2010 November;Swedish Government Bonds;SE GVB 2Y;1.4474
2010 December;Swedish Government Bonds;SE GVB 2Y;1.7636
2011 January;Swedish Government Bonds;SE GVB 2Y;1.8929
2011 February;Swedish Government Bonds;SE GVB 2Y;2.0937
2011 March;Swedish Government Bonds;SE GVB 2Y;2.2592
2011 April;Swedish Government Bonds;SE GVB 2Y;2.3226
2011 May;Swedish Government Bonds;SE GVB 2Y;2.2247
2011 June;Swedish Government Bonds;SE GVB 2Y;2.3756
2011 July;Swedish Government Bonds;SE GVB 2Y;2.1639
2011 August;Swedish Government Bonds;SE GVB 2Y;1.5594
2011 September;Swedish Government Bonds;SE GVB 2Y;1.1984
2011 October;Swedish Government Bonds;SE GVB 2Y;1.306
2011 November;Swedish Government Bonds;SE GVB 2Y;1.0147
2011 December;Swedish Government Bonds;SE GVB 2Y;0.8461
2012 January;Swedish Government Bonds;SE GVB 2Y;0.9073
2012 February;Swedish Government Bonds;SE GVB 2Y;1.0324
2012 March;Swedish Government Bonds;SE GVB 2Y;1.1197
2012 April;Swedish Government Bonds;SE GVB 2Y;1.1495
2012 May;Swedish Government Bonds;SE GVB 2Y;0.925
2012 June;Swedish Government Bonds;SE GVB 2Y;0.8515
2012 July;Swedish Government Bonds;SE GVB 2Y;0.8341
2012 August;Swedish Government Bonds;SE GVB 2Y;0.9233
2012 September;Swedish Government Bonds;SE GVB 2Y;0.7683
2012 October;Swedish Government Bonds;SE GVB 2Y;0.7165
2012 November;Swedish Government Bonds;SE GVB 2Y;0.7127
2012 December;Swedish Government Bonds;SE GVB 2Y;0.7229
2013 January;Swedish Government Bonds;SE GVB 2Y;0.9528
2013 February;Swedish Government Bonds;SE GVB 2Y;1.0651
2013 March;Swedish Government Bonds;SE GVB 2Y;1.107
2013 April;Swedish Government Bonds;SE GVB 2Y;0.9023
2013 May;Swedish Government Bonds;SE GVB 2Y;0.8236
2013 June;Swedish Government Bonds;SE GVB 2Y;1.0133
2013 July;Swedish Government Bonds;SE GVB 2Y;1.0675
2013 August;Swedish Government Bonds;SE GVB 2Y;1.165
2013 September;Swedish Government Bonds;SE GVB 2Y;1.219
2013 October;Swedish Government Bonds;SE GVB 2Y;1.0781
2013 November;Swedish Government Bonds;SE GVB 2Y;0.9195
2013 December;Swedish Government Bonds;SE GVB 2Y;0.8608
2014 January;Swedish Government Bonds;SE GVB 2Y;1.0347
2014 February;Swedish Government Bonds;SE GVB 2Y;0.9176
2014 March;Swedish Government Bonds;SE GVB 2Y;0.8501
2014 April;Swedish Government Bonds;SE GVB 2Y;0.7017
2014 May;Swedish Government Bonds;SE GVB 2Y;0.5934
2014 June;Swedish Government Bonds;SE GVB 2Y;0.4985
2014 July;Swedish Government Bonds;SE GVB 2Y;0.3127
2014 August;Swedish Government Bonds;SE GVB 2Y;0.2355
2014 September;Swedish Government Bonds;SE GVB 2Y;0.1788
2014 October;Swedish Government Bonds;SE GVB 2Y;0.0577
2014 November;Swedish Government Bonds;SE GVB 2Y;-0.0085
2014 December;Swedish Government Bonds;SE GVB 2Y;0.0113
2015 January;Swedish Government Bonds;SE GVB 2Y;-0.0443
2015 February;Swedish Government Bonds;SE GVB 2Y;-0.2287
2015 March;Swedish Government Bonds;SE GVB 2Y;-0.2278
2015 April;Swedish Government Bonds;SE GVB 2Y;-0.323
2015 May;Swedish Government Bonds;SE GVB 2Y;-0.2651
2015 June;Swedish Government Bonds;SE GVB 2Y;-0.2188
2015 July;Swedish Government Bonds;SE GVB 2Y;-0.3969
2015 August;Swedish Government Bonds;SE GVB 2Y;-0.4877
2015 September;Swedish Government Bonds;SE GVB 2Y;-0.4758
2015 October;Swedish Government Bonds;SE GVB 2Y;-0.4627
2015 November;Swedish Government Bonds;SE GVB 2Y;-0.4476
2015 December;Swedish Government Bonds;SE GVB 2Y;-0.4492
2016 January;Swedish Government Bonds;SE GVB 2Y;-0.5134
2016 February;Swedish Government Bonds;SE GVB 2Y;-0.5907
2016 March;Swedish Government Bonds;SE GVB 2Y;-0.5364
2016 April;Swedish Government Bonds;SE GVB 2Y;-0.4236
2016 May;Swedish Government Bonds;SE GVB 2Y;-0.4296
2016 June;Swedish Government Bonds;SE GVB 2Y;-0.5568
2016 July;Swedish Government Bonds;SE GVB 2Y;-0.6391
2016 August;Swedish Government Bonds;SE GVB 2Y;-0.6406
2016 September;Swedish Government Bonds;SE GVB 2Y;-0.6365
2016 October;Swedish Government Bonds;SE GVB 2Y;-0.6852
1987 January;Swedish Government Bonds;SE GVB 5Y;11.582
1987 February;Swedish Government Bonds;SE GVB 5Y;11.309
1987 March;Swedish Government Bonds;SE GVB 5Y;10.9405
1987 April;Swedish Government Bonds;SE GVB 5Y;10.878
1987 May;Swedish Government Bonds;SE GVB 5Y;11.5505
1987 June;Swedish Government Bonds;SE GVB 5Y;11.654
1987 July;Swedish Government Bonds;SE GVB 5Y;11.547
1987 August;Swedish Government Bonds;SE GVB 5Y;11.7686
1987 September;Swedish Government Bonds;SE GVB 5Y;11.8423
1987 October;Swedish Government Bonds;SE GVB 5Y;11.7841
1987 November;Swedish Government Bonds;SE GVB 5Y;11.359
1987 December;Swedish Government Bonds;SE GVB 5Y;11.4695
1988 January;Swedish Government Bonds;SE GVB 5Y;11.4763
1988 February;Swedish Government Bonds;SE GVB 5Y;11.0914
1988 March;Swedish Government Bonds;SE GVB 5Y;11.1352
1988 April;Swedish Government Bonds;SE GVB 5Y;11.1595
1988 May;Swedish Government Bonds;SE GVB 5Y;11.336
1988 June;Swedish Government Bonds;SE GVB 5Y;11.081
1988 July;Swedish Government Bonds;SE GVB 5Y;11.1757
1988 August;Swedish Government Bonds;SE GVB 5Y;11.4239
1988 September;Swedish Government Bonds;SE GVB 5Y;11.3609
1988 October;Swedish Government Bonds;SE GVB 5Y;11.2738
1988 November;Swedish Government Bonds;SE GVB 5Y;11.12
1988 December;Swedish Government Bonds;SE GVB 5Y;11.0495
1989 January;Swedish Government Bonds;SE GVB 5Y;10.5657
1989 February;Swedish Government Bonds;SE GVB 5Y;10.6095
1989 March;Swedish Government Bonds;SE GVB 5Y;11.0638
1989 April;Swedish Government Bonds;SE GVB 5Y;11.1745
1989 May;Swedish Government Bonds;SE GVB 5Y;11.1515
1989 June;Swedish Government Bonds;SE GVB 5Y;11.1957
1989 July;Swedish Government Bonds;SE GVB 5Y;11.26
1989 August;Swedish Government Bonds;SE GVB 5Y;11.177
1989 September;Swedish Government Bonds;SE GVB 5Y;11.1667
1989 October;Swedish Government Bonds;SE GVB 5Y;11.4091
1989 November;Swedish Government Bonds;SE GVB 5Y;12.2455
1989 December;Swedish Government Bonds;SE GVB 5Y;12.9605
1990 January;Swedish Government Bonds;SE GVB 5Y;13.2693
1990 February;Swedish Government Bonds;SE GVB 5Y;14.3975
1990 March;Swedish Government Bonds;SE GVB 5Y;14.37
1990 April;Swedish Government Bonds;SE GVB 5Y;14.0374
1990 May;Swedish Government Bonds;SE GVB 5Y;13.6329
1990 June;Swedish Government Bonds;SE GVB 5Y;13.1632
1990 July;Swedish Government Bonds;SE GVB 5Y;13.1291
1990 August;Swedish Government Bonds;SE GVB 5Y;13.5783
1990 September;Swedish Government Bonds;SE GVB 5Y;13.794
1990 October;Swedish Government Bonds;SE GVB 5Y;13.7943
1990 November;Swedish Government Bonds;SE GVB 5Y;13.3259
1990 December;Swedish Government Bonds;SE GVB 5Y;12.7582
1991 January;Swedish Government Bonds;SE GVB 5Y;12.23
1991 February;Swedish Government Bonds;SE GVB 5Y;11.3845
1991 March;Swedish Government Bonds;SE GVB 5Y;11.498
1991 April;Swedish Government Bonds;SE GVB 5Y;11.5457
1991 May;Swedish Government Bonds;SE GVB 5Y;10.9555
1991 June;Swedish Government Bonds;SE GVB 5Y;10.6995
1991 July;Swedish Government Bonds;SE GVB 5Y;10.7513
1991 August;Swedish Government Bonds;SE GVB 5Y;10.7014
1991 September;Swedish Government Bonds;SE GVB 5Y;10.3033
1991 October;Swedish Government Bonds;SE GVB 5Y;10.2565
1991 November;Swedish Government Bonds;SE GVB 5Y;10.2048
1991 December;Swedish Government Bonds;SE GVB 5Y;10.5756
1992 January;Swedish Government Bonds;SE GVB 5Y;9.8233
1992 February;Swedish Government Bonds;SE GVB 5Y;9.8155
1992 March;Swedish Government Bonds;SE GVB 5Y;9.73
1992 April;Swedish Government Bonds;SE GVB 5Y;9.9245
1992 May;Swedish Government Bonds;SE GVB 5Y;9.9674
1992 June;Swedish Government Bonds;SE GVB 5Y;10.116
1992 July;Swedish Government Bonds;SE GVB 5Y;10.3326
1992 August;Swedish Government Bonds;SE GVB 5Y;11.1648
1992 September;Swedish Government Bonds;SE GVB 5Y;12.0564
1992 October;Swedish Government Bonds;SE GVB 5Y;11.6755
1992 November;Swedish Government Bonds;SE GVB 5Y;10.861
1992 December;Swedish Government Bonds;SE GVB 5Y;9.6275
1993 January;Swedish Government Bonds;SE GVB 5Y;9.5647
1993 February;Swedish Government Bonds;SE GVB 5Y;9.0325
1993 March;Swedish Government Bonds;SE GVB 5Y;8.5865
1993 April;Swedish Government Bonds;SE GVB 5Y;8.592
1993 May;Swedish Government Bonds;SE GVB 5Y;8.1721
1993 June;Swedish Government Bonds;SE GVB 5Y;7.7781
1993 July;Swedish Government Bonds;SE GVB 5Y;7.3859
1993 August;Swedish Government Bonds;SE GVB 5Y;6.7545
1993 September;Swedish Government Bonds;SE GVB 5Y;6.9477
1993 October;Swedish Government Bonds;SE GVB 5Y;6.7557
1993 November;Swedish Government Bonds;SE GVB 5Y;6.5886
1993 December;Swedish Government Bonds;SE GVB 5Y;6.4238
1994 January;Swedish Government Bonds;SE GVB 5Y;6.357
1994 February;Swedish Government Bonds;SE GVB 5Y;6.4735
1994 March;Swedish Government Bonds;SE GVB 5Y;7.1704
1994 April;Swedish Government Bonds;SE GVB 5Y;7.9447
1994 May;Swedish Government Bonds;SE GVB 5Y;8.2145
1994 June;Swedish Government Bonds;SE GVB 5Y;9.3548
1994 July;Swedish Government Bonds;SE GVB 5Y;10.259
1994 August;Swedish Government Bonds;SE GVB 5Y;10.8522
1994 September;Swedish Government Bonds;SE GVB 5Y;10.8136
1994 October;Swedish Government Bonds;SE GVB 5Y;10.5343
